
viccall1,viccall2,vicanum,vicfreqrx,vicpwrrx,calctype,aggint,rqco,margin
=XCI11064,CHL683,11,19365000.000000,-40.395119,I,-100.854288,-103.335986,-2.481698
CIN228,VAD472,11,22265000.000000,-28.303823,I,-39.777141,-106.708233,-66.931092
CIN229,VAD472,11,22375000.000000,-38.747246,I,-38.747244,-106.708233,-67.960988
CIN362,XKU588,11,17815000.000000,-35.746944,I,-46.346729,-106.526056,-60.179326
VAD472,CIN228,11,23465000.000000,-28.742744,I,-40.214952,-106.708233,-66.493281
VAD472,CIN229,11,23575000.000000,-39.180916,I,-39.180917,-106.708233,-67.527316
XCIN228,XVAD472,11,22275000.000000,-28.308088,I,-54.795101,-106.866387,-52.071286
XCIN229,XVAD472,11,22375000.000000,-38.747246,I,-38.747244,-106.866387,-68.119143
XCIN362,XXKU588,11,17805000.000000,-36.341602,I,-62.887549,-106.868005,-43.980456
XKU588,CIN362,11,19375000.000000,-36.579422,I,-47.179164,-106.526056,-59.346892
XVAD472,XCIN228,11,23475000.000000,-28.745901,I,-55.234022,-106.866387,-51.632365
XVAD472,XCIN229,11,23575000.000000,-39.180916,I,-39.180917,-106.866387,-67.685470
XXKU588,XCIN362,11,19365000.000000,-37.174038,I,-63.723989,-106.868005,-43.144016
